event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,admin1,fatalities
EGY1,1997-01-03,1997,Political violence,Battles,Armed clash,Menia,1
EGY3,1997-01-06,1997,Political violence,Violence against civilians,Attack,North Sinai,1
EGY2,1997-01-06,1997,Political violence,Battles,Armed clash,North Sinai,0
EGY4,1997-01-25,1997,Political violence,Battles,Armed clash,Menia,3
EGY5,1997-01-27,1997,Political violence,Violence against civilians,Attack,Menia,1
EGY6,1997-02-12,1997,Political violence,Violence against civilians,Attack,Menia,10
EGY7,1997-02-20,1997,Political violence,Battles,Armed clash,Menia,3
EGY8,1997-02-20,1997,Political violence,Violence against civilians,Attack,Menia,2
EGY9,1997-03-13,1997,Political violence,Violence against civilians,Attack,Fayoum,13
EGY10,1997-03-13,1997,Political violence,Violence against civilians,Attack,Qena,1
EGY11,1997-03-17,1997,Strategic developments,Strategic developments,Change to group/activity,Cairo,0
EGY12,1997-03-24,1997,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY13,1997-03-31,1997,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY14,1997-04-08,1997,Political violence,Battles,Armed clash,Menia,2
EGY15,1997-04-08,1997,Political violence,Violence against civilians,Attack,Menia,2
EGY16,1997-06-01,1997,Demonstrations,Riots,Violent demonstration,Menia,0
EGY17,1997-06-03,1997,Political violence,Battles,Armed clash,Menia,4
EGY19,1997-06-10,1997,Political violence,Battles,Armed clash,Menia,4
EGY18,1997-06-10,1997,Political violence,Battles,Armed clash,Cairo,1
EGY20,1997-06-14,1997,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY21,1997-06-20,1997,Political violence,Battles,Armed clash,Beni Suef,3
EGY22,1997-07-01,1997,Demonstrations,Riots,Violent demonstration,Menia,2
EGY23,1997-07-01,1997,Demonstrations,Riots,Violent demonstration,Menia,1
EGY24,1997-07-02,1997,Demonstrations,Riots,Violent demonstration,Gharbia,0
EGY25,1997-07-03,1997,Demonstrations,Protests,Protest with intervention,Giza,0
EGY26,1997-07-04,1997,Political violence,Battles,Armed clash,Menia,3
EGY27,1997-07-22,1997,Political violence,Battles,Armed clash,Menia,6
EGY29,1997-08-19,1997,Political violence,Battles,Armed clash,Assiut,4
EGY30,1997-08-19,1997,Political violence,Violence against civilians,Attack,Assiut,1
EGY31,1997-09-06,1997,Political violence,Battles,Armed clash,Assiut,3
EGY32,1997-09-06,1997,Political violence,Violence against civilians,Attack,Sharqia,6
EGY33,1997-09-18,1997,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Cairo,9
EGY34,1997-09-30,1997,Political violence,Battles,Armed clash,Menia,2
EGY35,1997-09-30,1997,Political violence,Violence against civilians,Attack,Menia,1
EGY36,1997-10-13,1997,Political violence,Battles,Armed clash,Menia,8
EGY37,1997-10-13,1997,Political violence,Battles,Armed clash,Menia,3
EGY39,1997-11-12,1997,Political violence,Battles,Armed clash,Qena,3
EGY40,1997-11-12,1997,Political violence,Violence against civilians,Attack,Qena,3
EGY41,1997-11-17,1997,Political violence,Battles,Armed clash,Luxor,3
EGY42,1997-11-17,1997,Political violence,Violence against civilians,Attack,Luxor,60
EGY43,1997-12-13,1997,Political violence,Battles,Armed clash,Menia,2
EGY44,1998-03-10,1998,Political violence,Battles,Armed clash,Menia,5
EGY45,1998-03-22,1998,Political violence,Battles,Armed clash,Menia,4
EGY46,1998-03-22,1998,Political violence,Battles,Armed clash,Menia,4
EGY47,1998-03-22,1998,Political violence,Violence against civilians,Attack,Menia,4
EGY48,1998-03-22,1998,Political violence,Violence against civilians,Attack,Menia,4
EGY49,1998-03-30,1998,Political violence,Battles,Armed clash,Assiut,1
EGY51,1998-04-06,1998,Political violence,Violence against civilians,Attack,Menia,2
EGY52,1998-04-10,1998,Demonstrations,Riots,Violent demonstration,Cairo,1
EGY53,1998-08-01,1998,Political violence,Violence against civilians,Attack,New Valley,0
EGY54,1998-09-23,1998,Political violence,Battles,Armed clash,Cairo,0
EGY55,1998-11-02,1998,Political violence,Battles,Armed clash,Menia,2
EGY56,1998-12-17,1998,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY58,1998-12-18,1998,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY57,1998-12-18,1998,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY59,1998-12-18,1998,Demonstrations,Riots,Violent demonstration,Cairo,0
EGY61,1998-12-19,1998,Demonstrations,Protests,Peaceful protest,Qalyubia,0
EGY60,1998-12-19,1998,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY62,1998-12-23,1998,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY63,1999-01-05,1999,Political violence,Violence against civilians,Attack,Sohag,1
EGY64,1999-02-19,1999,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY65,1999-04-05,1999,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY66,1999-04-20,1999,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY67,1999-07-31,1999,Political violence,Battles,Armed clash,Assiut,1
EGY69,1999-09-06,1999,Political violence,Violence against civilians,Attack,Port Said,1
EGY68,1999-09-06,1999,Political violence,Battles,Armed clash,Giza,4
EGY70,1999-10-01,1999,Political violence,Battles,Armed clash,Cairo,1
EGY71,1999-11-07,1999,Demonstrations,Protests,Protest with intervention,Menoufia,0
EGY72,1999-12-08,1999,Demonstrations,Protests,Peaceful protest,Menia,0
EGY73,2000-01-01,2000,Political violence,Battles,Armed clash,Sohag,0
EGY74,2000-01-02,2000,Political violence,Battles,Armed clash,Sohag,8
EGY75,2000-01-03,2000,Political violence,Battles,Armed clash,Sohag,21
EGY76,2000-02-10,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY79,2000-02-15,2000,Demonstrations,Protests,Peaceful protest,Giza,0
EGY78,2000-02-15,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY77,2000-02-15,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY80,2000-03-05,2000,Political violence,Riots,Mob violence,Qalyubia,0
EGY81,2000-03-11,2000,Demonstrations,Riots,Violent demonstration,Sharqia,0
EGY82,2000-05-07,2000,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY83,2000-05-08,2000,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY85,2000-05-09,2000,Demonstrations,Protests,Peaceful protest,Giza,0
EGY84,2000-05-09,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY86,2000-05-09,2000,Demonstrations,Riots,Violent demonstration,Cairo,0
EGY87,2000-05-10,2000,Demonstrations,Riots,Violent demonstration,Cairo,0
EGY88,2000-06-24,2000,Political violence,Riots,Mob violence,Cairo,0
EGY89,2000-06-25,2000,Political violence,Battles,Armed clash,Giza,0
EGY91,2000-10-04,2000,Demonstrations,Protests,Protest with intervention,Alexandria,0
EGY90,2000-10-04,2000,Demonstrations,Riots,Violent demonstration,Cairo,0
EGY92,2000-10-07,2000,Demonstrations,Protests,Peaceful protest,Menia,0
EGY94,2000-10-07,2000,Demonstrations,Protests,Protest with intervention,Cairo,0
EGY93,2000-10-07,2000,Political violence,Riots,Mob violence,Cairo,22
EGY95,2000-10-08,2000,Demonstrations,Protests,Peaceful protest,Giza,0
EGY96,2000-10-08,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY97,2000-10-10,2000,Demonstrations,Protests,Peaceful protest,Alexandria,0
EGY98,2000-10-10,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY99,2000-10-10,2000,Demonstrations,Riots,Violent demonstration,Cairo,0
EGY100,2000-10-10,2000,Political violence,Riots,Mob violence,Kafr el-Sheikh,0
EGY101,2000-10-10,2000,Political violence,Riots,Mob violence,Qalyubia,0
EGY102,2000-10-11,2000,Demonstrations,Riots,Violent demonstration,North Sinai,0
EGY103,2000-10-13,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY104,2000-10-19,2000,Political violence,Battles,Armed clash,Cairo,2
EGY105,2000-10-20,2000,Demonstrations,Protests,Peaceful protest,Cairo,0
EGY106,2000-10-21,2000,Political violence,Riots,Mob violence,Menia,0
EGY107,2000-10-23,2000,Political violence,Violence against civilians,Attack,Fayoum,0
EGY108,2000-10-24,2000,Political violence,Violence against civilians,Attack,Menia,1
EGY109,2000-10-29,2000,Strategic developments,Strategic developments,Arrests,Alexandria,0
EGY110,2000-10-30,2000,Political violence,Battles,Armed clash,Assiut,1
EGY111,2000-11-04,2000,Political violence,Battles,Armed clash,Damietta,2
EGY112,2000-11-04,2000,Political violence,Riots,Mob violence,Gharbia,2
EGY113,2000-11-04,2000,Political violence,Riots,Mob violence,Gharbia,0
EGY116,2000-11-08,2000,Political violence,Violence against civilians,Attack,Cairo,0
