year,value
1975,0.33
1976,0.32899999999999996
1977,0.32899999999999996
1978,0.32799999999999996
1979,0.32799999999999996
1980,0.32799999999999996
1981,0.327
1982,0.327
1983,0.326
1984,0.326
1985,0.325
1986,0.325
1987,0.325
1988,0.324
1989,0.324
1990,0.324
1991,0.32299999999999995
1992,0.324
1993,0.324
1994,0.32299999999999995
1995,0.32299999999999995
1996,0.325
1997,0.326
1998,0.326
1999,0.327
2000,0.32899999999999996
2001,0.327
2002,0.325
2003,0.322
2004,0.32
2005,0.318
2006,0.315
2007,0.312
2008,0.308
2009,0.308
2010,0.304
2011,0.301
2012,0.298
2013,0.3
2014,0.302
2015,0.303
2016,0.301
2017,0.299
2018,0.303
2019,0.302
2020,0.306
2021,0.309
2022,0.315
2023,0.32
