year,value
1990,0
1993,0.000976
1994,0.00638
1995,0.0313
1996,0.0615
1997,0.0905
1998,0.148
1999,0.29
2000,0.641265037504813
2001,0.838945611477604
2002,2.71999971465421
2003,4.03788510706701
2004,11.92
2005,12.75
2006,13.66
2007,16.03
2008,18.01
2009,20
2010,21.6
2011,25.6
2012,26.4
2013,29.4
2014,33.8946039115275
2015,37.8193834276939
2016,41.2480670885772
2017,44.9502042452857
2018,46.92433676792
2019,57.2828663990195
2020,71.91420096
2021,72.05599976
2022,72.19806556
2023,74.01190186
2024,74.64839935
