year,value
1960,0
1965,0
1970,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0.004971488
1988,0.005563695
1989,0.006489636
1990,0.006991219
1991,0.007677735
1992,0.008189815
1993,0.011203574
1994,0.011741777
1995,0.011482554
1996,0.011239195
1997,0.09758824
1998,0.132638847
1999,0.688011068
2000,1.8607538216263
2001,3.74243009523559
2002,5.89552843443126
2003,7.44671264050805
2004,9.61664053535291
2005,16.8057130340828
2006,21.7666484648207
2007,35.7083780152706
2008,48.0833441516988
2009,63.2585121037051
2010,79.2198618342745
2011,91.5823290114783
2012,103.904852847169
2013,104.585398175604
2014,97.7313128919015
2015,94.3962460363651
2016,96.2091951594197
2017,99.2884367821237
2018,88.7420881346276
2019,88.6447815879102
2020,87.2316871725819
2021,84.0866220906029
2022,90.6794715776528
2023,92.8261626420085
2024,97.1295066037455
