year,value
1960,754.665127408478
1961,773.359952691995
1962,782.464128955772
1963,842.326112348859
1964,915.12863287558
1965,935.954213452018
1966,958.850656912302
1967,942.860658092055
1968,905.164664509817
1969,930.030902265305
1970,959.05605529264
1971,975.172435737432
1972,982.105208413768
1973,993.429316293668
1974,985.862077723842
1975,1048.96951157156
1976,1160.7919367942
1977,1235.69710073316
1978,1309.77615132069
1979,1335.53152120211
1980,1431.40108169045
1981,1495.85483053309
1982,1599.40083221743
1983,1632.3820136427
1984,1738.32577314782
1985,1785.07842980701
1986,1817.0762574663
1987,1835.11342623572
1988,1882.26797772983
1989,1921.85630400156
1990,1972.13789303325
1991,1940.10019358564
1992,1979.02010131332
1993,1989.97920020791
1994,2024.95373805253
1995,2074.83991140246
1996,2133.64804177244
1997,2204.66575942446
1998,2277.2850483467
1999,2361.86425101369
2000,2458.60835003154
2001,2492.03441188861
2002,2498.4812119434
2003,2524.80477195753
2004,2574.42341789647
2005,2635.70305226634
2006,2761.62410768311
2007,2902.06559803259
2008,3052.2129784594
2009,3135.09661305712
2010,3233.84521249306
2011,3222.37650111397
2012,3220.99194201188
2013,3216.37839024454
2014,3235.66246235519
2015,3306.98159414141
2016,3381.22246307712
2017,3452.90961245976
2018,3568.63966286365
2019,3701.2446344954
2020,3770.86947868544
2021,3837.31992325256
2022,4029.78295458204
2023,4111.3118479018
2024,4137.6092923313
2025,4252.63696588953
