event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,admin1,fatalities
JPN4379,2018-01-01,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN3870,2018-01-01,2018,Demonstrations,Protests,Peaceful protest,Nagasaki,0
JPN5130,2018-01-01,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN3981,2018-01-01,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN3982,2018-01-02,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4381,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4380,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN3989,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Hokkaido,0
JPN4601,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4382,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN5277,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5131,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4094,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Iwate,0
JPN4135,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4120,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3825,2018-01-06,2018,Strategic developments,Strategic developments,Other,Okinawa,0
JPN3802,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4385,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN3979,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4383,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN4384,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4386,2018-01-07,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3829,2018-01-07,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN5016,2018-01-08,2018,Demonstrations,Protests,Peaceful protest,Shizuoka,0
JPN4391,2018-01-08,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3835,2018-01-09,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3849,2018-01-10,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN3838,2018-01-10,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN4392,2018-01-11,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5103,2018-01-11,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5179,2018-01-12,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4075,2018-01-12,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4106,2018-01-12,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3992,2018-01-13,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4932,2018-01-13,2018,Strategic developments,Strategic developments,Other,Okinawa,0
JPN12495,2018-01-13,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN4970,2018-01-14,2018,Demonstrations,Protests,Peaceful protest,Gunma,0
JPN4972,2018-01-14,2018,Demonstrations,Protests,Peaceful protest,Nagasaki,0
JPN4395,2018-01-14,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4396,2018-01-14,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4398,2018-01-15,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4397,2018-01-15,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN4439,2018-01-16,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4401,2018-01-16,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5223,2018-01-16,2018,Strategic developments,Strategic developments,Other,Ishikawa,0
JPN4402,2018-01-16,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5210,2018-01-16,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4403,2018-01-17,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN5209,2018-01-17,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5253,2018-01-17,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4141,2018-01-18,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4400,2018-01-18,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3867,2018-01-18,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5238,2018-01-18,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN3857,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Nagasaki,0
JPN4404,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN5257,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5197,2018-01-19,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4405,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4948,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Shiga,0
JPN4183,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4140,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4128,2018-01-19,2018,Demonstrations,Protests,Peaceful protest,Iwate,0
JPN5200,2018-01-20,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4406,2018-01-20,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN4419,2018-01-21,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN5147,2018-01-21,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4418,2018-01-21,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4389,2018-01-21,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4296,2018-01-21,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN4421,2018-01-22,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3872,2018-01-22,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5246,2018-01-22,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4420,2018-01-22,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3868,2018-01-23,2018,Strategic developments,Strategic developments,Other,Okinawa,0
JPN5203,2018-01-23,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4422,2018-01-23,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4423,2018-01-24,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN5271,2018-01-24,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5339,2018-01-24,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3873,2018-01-25,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3869,2018-01-25,2018,Demonstrations,Protests,Peaceful protest,Nara,0
JPN4108,2018-01-25,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3871,2018-01-25,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4433,2018-01-25,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN4425,2018-01-25,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN5270,2018-01-25,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN5259,2018-01-26,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4123,2018-01-26,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4429,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4427,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4428,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4426,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN5266,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN4966,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Hiroshima,0
JPN4430,2018-01-27,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN3875,2018-01-28,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4438,2018-01-28,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4437,2018-01-28,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3874,2018-01-28,2018,Demonstrations,Protests,Peaceful protest,Niigata,0
JPN4791,2018-01-29,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5254,2018-01-29,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4803,2018-01-29,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4442,2018-01-29,2018,Demonstrations,Protests,Peaceful protest,Osaka,0
JPN5256,2018-01-30,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4441,2018-01-31,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4444,2018-01-31,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4445,2018-01-31,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4443,2018-01-31,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN5099,2018-01-31,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN5066,2018-02-01,2018,Demonstrations,Protests,Peaceful protest,Fukuoka,0
JPN5189,2018-02-01,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4446,2018-02-01,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN5126,2018-02-02,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4451,2018-02-03,2018,Demonstrations,Protests,Peaceful protest,Kanagawa,0
JPN4450,2018-02-03,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN3876,2018-02-03,2018,Demonstrations,Protests,Peaceful protest,Okinawa,0
JPN5009,2018-02-03,2018,Demonstrations,Protests,Peaceful protest,Shiga,0
JPN4491,2018-02-04,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5081,2018-02-04,2018,Strategic developments,Strategic developments,Other,Okinawa,0
JPN4369,2018-02-04,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4492,2018-02-04,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN3877,2018-02-05,2018,Strategic developments,Strategic developments,Other,Saga,0
JPN3991,2018-02-05,2018,Demonstrations,Protests,Peaceful protest,Oita,0
JPN3884,2018-02-05,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4493,2018-02-05,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4496,2018-02-06,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4498,2018-02-06,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN4946,2018-02-06,2018,Demonstrations,Protests,Peaceful protest,Shizuoka,0
JPN4497,2018-02-06,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
JPN5108,2018-02-06,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4494,2018-02-06,2018,Demonstrations,Protests,Peaceful protest,Chiba,0
JPN5044,2018-02-07,2018,Demonstrations,Protests,Peaceful protest,Shizuoka,0
JPN4499,2018-02-07,2018,Demonstrations,Protests,Peaceful protest,Saitama,0
JPN5260,2018-02-07,2018,Demonstrations,Protests,Protest with intervention,Okinawa,0
JPN4501,2018-02-08,2018,Demonstrations,Protests,Peaceful protest,Tokyo,0
