year,value
1961,0.24
1962,0.23600000000000002
1963,0.23199999999999998
1964,0.23
1965,0.22899999999999998
1966,0.23
1967,0.231
1968,0.23199999999999998
1969,0.23600000000000002
1970,0.235
1971,0.23199999999999998
1972,0.22899999999999998
1973,0.22699999999999998
1974,0.22699999999999998
1975,0.22699999999999998
1976,0.22699999999999998
1977,0.226
1978,0.22699999999999998
1979,0.23
1980,0.231
1981,0.235
1982,0.237
1983,0.24100000000000002
1984,0.248
1985,0.248
1986,0.252
1987,0.257
1988,0.257
1989,0.26
1990,0.262
1991,0.26899999999999996
1992,0.27699999999999997
1993,0.27699999999999997
1994,0.27899999999999997
1995,0.28300000000000003
1996,0.287
1997,0.29100000000000004
1998,0.294
1999,0.29600000000000004
2000,0.298
2001,0.3
2002,0.303
2003,0.303
2004,0.307
2005,0.308
2006,0.308
2007,0.309
2008,0.311
2009,0.306
2010,0.301
2011,0.303
2012,0.301
2013,0.299
2014,0.297
2015,0.297
2016,0.299
2017,0.301
2018,0.305
2019,0.308
2020,0.311
2021,0.315
