year,value
1990,0.0203
1991,0.0404
1992,0.0967
1993,0.401
1994,0.8
1995,1.59
1996,4.37
1997,9.16
1998,13.4
1999,21.4
2000,29.9907403589142
2001,38.5320608612719
2002,46.5942011179917
2003,48.4352658899653
2004,62.3939296327259
2005,66.9210661042901
2006,68.6852703213795
2007,74.3
2008,75.4
2009,78
2010,78.21
2011,79.0541135244739
2012,79.4964
2013,88.219428911
2014,89.1068330166075
2015,91.0580283929962
2016,93.1827212821617
2017,91.7265472366635
2018,88.7463508901772
2019,92.7303978145525
2020,90.21945812
2021,82.91407928
2022,84.92343147
2023,85.00990295
2024,85.54153081
