year,value
1960,0
1965,0
1970,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0.011213345
1982,0.016628303
1983,0.022704022
1984,0.033528477
1985,0.051024186
1986,0.078161829
1987,0.123312648
1988,0.197794266
1989,0.397140769
1990,0.701838322
1991,1.110714636
1992,1.376149484
1993,1.70810566
1994,3.461792124
1995,9.337292835
1996,21.40087434
1997,30.35349093
1998,37.45403769
1999,44.91767666
2000,52.5746173540028
2001,58.7922921478922
2002,63.6299013940492
2003,67.8735418673073
2004,71.5670665187225
2005,75.4291988176682
2006,77.9907399102107
2007,83.8011886263973
2008,86.1411128734599
2009,90.7193519244929
2010,96.1788512760143
2011,103.641547955059
2012,110.319058838317
2013,115.787169243408
2014,123.822099584501
2015,126.150959704287
2016,131.214861037498
2017,135.985843116605
2018,141.728728918149
2019,147.209910756974
2020,154.432206765516
2021,159.516123485628
2022,168.602943650636
2023,178.432441299977
