year,value
1960,6481.37442274053
1961,7197.18214473058
1962,7765.88292703689
1963,8338.99399083672
1964,9216.32221560597
1965,9648.24054656205
1966,10577.5937769986
1967,11628.8833173252
1968,12979.860485465
1969,14426.9406553992
1970,14318.6588003477
1971,14666.1228715572
1972,15678.891945691
1973,16701.6297669361
1974,16279.1053900856
1975,16570.1490384468
1976,17045.1784418847
1977,17622.1033093596
1978,18383.0750924035
1979,19227.734800588
1980,19614.2922299856
1981,20291.567958628
1982,20818.8044337152
1983,21402.8665366541
1984,22221.8862508533
1985,23238.9252243658
1986,23884.4841642864
1987,24894.0912634322
1988,26472.7749041278
1989,27648.0847646202
1990,28904.7658863073
1991,29775.391651584
1992,29916.6529957081
1993,29665.3871017287
1994,29876.454752764
1995,30504.5332529005
1996,31371.432405964
1997,31723.3382538425
1998,31076.4386626557
1999,30911.9243180534
2000,31779.3788459032
2001,31793.1269485489
2002,31746.2430105713
2003,32115.5810785373
2004,32783.1292835489
2005,33385.9179590327
2006,33880.6890093456
2007,34426.6937124867
2008,34008.5915147362
2009,31993.8588053706
2010,33311.2872381879
2011,33306.1802259719
2012,33909.4911855243
2013,34636.6924746166
2014,34996.8796756631
2015,35664.6446110613
2016,35934.4467886662
2017,36547.7357437305
2018,36899.3847079435
2019,36837.2583653113
2020,35363.2996951789
2021,36792.556429474
2022,37448.3504824849
2023,37902.5492204411
2024,37976.6371788298
2025,38619.3367073485
