event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,admin1,fatalities
KOR9485,2018-01-02,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR11501,2018-01-02,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12542,2018-01-02,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR13131,2018-01-02,2018,Demonstrations,Protests,Peaceful protest,Incheon,0
KOR12291,2018-01-02,2018,Demonstrations,Protests,Peaceful protest,South Gyeongsang,0
KOR9486,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR9489,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR11149,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR11962,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR11176,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,South Gyeongsang,0
KOR12529,2018-01-03,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR9484,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,South Gyeongsang,0
KOR11987,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Ulsan,0
KOR12306,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12298,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Busan,0
KOR12812,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR9487,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Daejeon,0
KOR11138,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Sejong Special Autonomous City,0
KOR10607,2018-01-04,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR9503,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Gyeonggi,0
KOR9488,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12112,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12576,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12858,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12876,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,South Jeolla,0
KOR11181,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,South Gyeongsang,0
KOR12097,2018-01-05,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12134,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,North Jeolla,0
KOR12047,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR12178,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Daegu,0
KOR12077,2018-01-06,2018,Demonstrations,Protests,Peaceful protest,Gwangju,0
KOR11571,2018-01-08,2018,Demonstrations,Protests,Peaceful protest,Gangwon,0
KOR9500,2018-01-08,2018,Demonstrations,Protests,Peaceful protest,Busan,0
KOR9505,2018-01-08,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
KOR9507,2018-01-08,2018,Demonstrations,Protests,Peaceful protest,Seoul Special City,0
