year,value
1965,0.3
1966,0.3
1967,0.301
1968,0.301
1969,0.302
1970,0.302
1971,0.305
1972,0.307
1973,0.31
1974,0.313
1975,0.316
1976,0.319
1977,0.321
1978,0.324
1979,0.326
1980,0.32799999999999996
1981,0.331
1982,0.33399999999999996
1983,0.336
1984,0.337
1985,0.337
1986,0.33799999999999997
1987,0.337
1988,0.33399999999999996
1989,0.33299999999999996
1990,0.327
1991,0.32299999999999995
1992,0.32
1993,0.319
1994,0.32
1995,0.322
1996,0.326
1997,0.33
1998,0.336
1999,0.337
2000,0.33299999999999996
2001,0.332
2002,0.32899999999999996
2003,0.324
2004,0.32
2005,0.317
2006,0.312
2007,0.315
2008,0.316
2009,0.318
2010,0.317
2011,0.326
2012,0.317
2013,0.319
2014,0.313
2015,0.322
2016,0.341
2017,0.34600000000000003
2018,0.342
2019,0.337
2020,0.332
2021,0.327
2022,0.315
2023,0.314
2024,0.314
