year,value
1960,0
1965,0
1970,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1986,0.01695819
1987,0.024183325
1988,0.04734527
1989,0.09116426
1990,0.181334835
1991,0.373382025
1992,0.608287335
1993,1.049975406
1994,2.126074209
1995,3.615707017
1996,6.966660745
1997,14.96611806
1998,30.31034269
1999,50.39230494
2000,57.3408437262605
2001,61.7420382357865
2002,68.3786357970296
2003,70.6984149567203
2004,76.705022268137
2005,80.1274936342835
2006,83.7326193913918
2007,92.0940186995266
2008,94.314085183969
2009,98.7589987345583
2010,104.09665032935
2011,106.878306781378
2012,108.114681779859
2013,109.206248930023
2014,113.358579550833
2015,115.595447050042
2016,119.489512998783
2017,123.642066127533
2018,128.494634504197
2019,133.079790493891
2020,135.973274343048
2021,140.516382791931
2022,148.68360770138
2023,162.11365652794
2024,172.520241179065
