event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,admin1,fatalities
THA3100,2010-01-01,2010,Strategic developments,Strategic developments,Looting/property destruction,Yala,0
THA1,2010-01-01,2010,Strategic developments,Strategic developments,Looting/property destruction,Pattani,0
THA3101,2010-01-02,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA2,2010-01-02,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA4,2010-01-03,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Narathiwat,0
THA3104,2010-01-03,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Songkhla,0
THA3102,2010-01-03,2010,Strategic developments,Strategic developments,Looting/property destruction,Narathiwat,0
THA3,2010-01-03,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Narathiwat,0
THA3103,2010-01-03,2010,Strategic developments,Strategic developments,Looting/property destruction,Pattani,0
THA3105,2010-01-04,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Narathiwat,0
THA3106,2010-01-04,2010,Strategic developments,Strategic developments,Arrests,Narathiwat,0
THA5,2010-01-05,2010,Political violence,Violence against civilians,Attack,Narathiwat,1
THA6,2010-01-06,2010,Political violence,Battles,Armed clash,Narathiwat,1
THA3108,2010-01-06,2010,Strategic developments,Strategic developments,Arrests,Pattani,0
THA3107,2010-01-06,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA7,2010-01-06,2010,Political violence,Battles,Armed clash,Narathiwat,1
THA8,2010-01-06,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA10,2010-01-07,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA3109,2010-01-07,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,1
THA9,2010-01-07,2010,Political violence,Battles,Armed clash,Narathiwat,1
THA3110,2010-01-08,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA7558,2010-01-08,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA11,2010-01-10,2010,Political violence,Violence against civilians,Attack,Narathiwat,2
THA3112,2010-01-10,2010,Political violence,Battles,Armed clash,Pattani,0
THA3111,2010-01-10,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA7099,2010-01-10,2010,Political violence,Violence against civilians,Attack,Si Sa Ket,2
THA3113,2010-01-11,2010,Political violence,Battles,Armed clash,Pattani,0
THA12,2010-01-11,2010,Demonstrations,Protests,Peaceful protest,Nakhon Ratchasima,0
THA3114,2010-01-11,2010,Political violence,Battles,Armed clash,Pattani,1
THA7100,2010-01-11,2010,Political violence,Violence against civilians,Attack,Surin,2
THA3115,2010-01-12,2010,Strategic developments,Strategic developments,Looting/property destruction,Yala,0
THA13,2010-01-12,2010,Political violence,Violence against civilians,Attack,Pattani,0
THA3117,2010-01-13,2010,Political violence,Violence against civilians,Attack,Pattani,2
THA3116,2010-01-13,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA14,2010-01-13,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA15,2010-01-13,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA16,2010-01-14,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA3119,2010-01-14,2010,Political violence,Violence against civilians,Attack,Pattani,2
THA3118,2010-01-14,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA3120,2010-01-14,2010,Strategic developments,Strategic developments,Arrests,Yala,0
THA17,2010-01-14,2010,Strategic developments,Strategic developments,Looting/property destruction,Bangkok,0
THA18,2010-01-14,2010,Political violence,Violence against civilians,Attack,Pattani,2
THA19,2010-01-14,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA7001,2010-01-14,2010,Political violence,Explosions/Remote violence,Grenade,Bangkok,0
THA20,2010-01-14,2010,Political violence,Violence against civilians,Attack,Pattani,0
THA21,2010-01-14,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA3121,2010-01-15,2010,Strategic developments,Strategic developments,Arrests,Narathiwat,0
THA3122,2010-01-15,2010,Political violence,Battles,Armed clash,Pattani,0
THA22,2010-01-15,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA23,2010-01-17,2010,Demonstrations,Riots,Violent demonstration,Phetchaburi,0
THA3123,2010-01-17,2010,Strategic developments,Strategic developments,Arrests,Narathiwat,0
THA3125,2010-01-17,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA3124,2010-01-17,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA24,2010-01-18,2010,Demonstrations,Protests,Peaceful protest,Phetchaburi,0
THA25,2010-01-19,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA26,2010-01-20,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA27,2010-01-21,2010,Demonstrations,Protests,Peaceful protest,Surat Thani,0
THA28,2010-01-22,2010,Demonstrations,Protests,Peaceful protest,Chanthaburi,0
THA3127,2010-01-22,2010,Political violence,Battles,Armed clash,Pattani,0
THA3126,2010-01-22,2010,Political violence,Violence against civilians,Attack,Narathiwat,1
THA29,2010-01-23,2010,Demonstrations,Protests,Peaceful protest,Chanthaburi,0
THA3128,2010-01-24,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA31,2010-01-24,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA32,2010-01-24,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Narathiwat,0
THA3129,2010-01-24,2010,Political violence,Violence against civilians,Attack,Narathiwat,1
THA33,2010-01-24,2010,Demonstrations,Protests,Peaceful protest,Chanthaburi,0
THA30,2010-01-24,2010,Political violence,Battles,Armed clash,Si Sa Ket,0
THA3130,2010-01-25,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA3131,2010-01-25,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA3132,2010-01-25,2010,Political violence,Violence against civilians,Attack,Yala,1
THA35,2010-01-25,2010,Demonstrations,Riots,Violent demonstration,Chiang Mai,0
THA34,2010-01-25,2010,Political violence,Explosions/Remote violence,Grenade,Bangkok,0
THA7101,2010-01-25,2010,Political violence,Violence against civilians,Attack,Surin,1
THA3134,2010-01-26,2010,Strategic developments,Strategic developments,Arrests,Yala,0
THA3133,2010-01-26,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA36,2010-01-26,2010,Demonstrations,Protests,Peaceful protest,Ratchaburi,0
THA37,2010-01-27,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,0
THA3135,2010-01-28,2010,Strategic developments,Strategic developments,Arrests,Narathiwat,0
THA38,2010-01-28,2010,Demonstrations,Protests,Peaceful protest,Chiang Mai,0
THA3136,2010-01-29,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA3137,2010-01-29,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA3138,2010-01-29,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Pattani,1
THA7559,2010-01-29,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA39,2010-01-29,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA3141,2010-01-30,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA3139,2010-01-30,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA40,2010-01-30,2010,Political violence,Violence against civilians,Attack,Pattani,2
THA3140,2010-01-30,2010,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yala,0
THA3142,2010-01-31,2010,Political violence,Violence against civilians,Attack,Pattani,3
THA3143,2010-02-01,2010,Strategic developments,Strategic developments,Arrests,Narathiwat,0
THA41,2010-02-02,2010,Political violence,Violence against civilians,Attack,Surin,0
THA43,2010-02-02,2010,Demonstrations,Protests,Peaceful protest,Surat Thani,0
THA42,2010-02-02,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA7102,2010-02-02,2010,Political violence,Violence against civilians,Attack,Surin,0
THA3146,2010-02-03,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA3144,2010-02-03,2010,Political violence,Violence against civilians,Attack,Narathiwat,1
THA3145,2010-02-03,2010,Political violence,Violence against civilians,Attack,Pattani,1
THA46,2010-02-03,2010,Demonstrations,Protests,Peaceful protest,Chiang Mai,0
THA45,2010-02-03,2010,Demonstrations,Protests,Peaceful protest,Chiang Mai,0
THA44,2010-02-03,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA7560,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Songkhla,0
THA53,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Phetchabun,0
THA54,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Phitsanulok,0
THA48,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Chiang Mai,0
THA55,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Phuket,0
THA49,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Songkhla,0
THA51,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Lampang,0
THA52,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Khon Kaen,0
THA56,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Surin,0
THA50,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Kanchanaburi,0
THA47,2010-02-04,2010,Demonstrations,Protests,Peaceful protest,Bangkok,0
THA7561,2010-02-05,2010,Political violence,Violence against civilians,Attack,Chachoengsao,1
THA57,2010-02-05,2010,Demonstrations,Protests,Peaceful protest,Udon Thani,0
THA3147,2010-02-06,2010,Political violence,Battles,Armed clash,Narathiwat,0
THA3149,2010-02-06,2010,Political violence,Battles,Armed clash,Narathiwat,1
