year,value
1962,0.408
1963,0.409
1964,0.41
1965,0.41100000000000003
1966,0.41200000000000003
1967,0.413
1968,0.414
1969,0.415
1970,0.41600000000000004
1971,0.41700000000000004
1972,0.418
1973,0.419
1974,0.419
1975,0.42
1976,0.42200000000000004
1977,0.424
1978,0.42700000000000005
1979,0.429
1980,0.431
1981,0.433
1982,0.435
1983,0.43700000000000006
1984,0.439
1985,0.44
1986,0.442
1987,0.444
1988,0.445
1989,0.446
1990,0.447
1991,0.44799999999999995
1992,0.44799999999999995
1993,0.447
1994,0.445
1995,0.444
1996,0.442
1997,0.441
1998,0.44
1999,0.439
2000,0.43799999999999994
2001,0.435
2002,0.433
2003,0.43200000000000005
2004,0.43
2005,0.428
2006,0.426
2007,0.423
2008,0.419
2009,0.415
2010,0.41
2011,0.406
2012,0.402
2013,0.397
2014,0.392
2015,0.38799999999999996
2016,0.384
2017,0.381
2018,0.37799999999999995
2019,0.374
2020,0.37200000000000005
2021,0.369
2022,0.36700000000000005
2023,0.366
2024,0.365
