year,value
1990,0
1991,5.22e-5
1992,0.000344
1993,0.0136
1994,0.0386
1995,0.0748
1996,0.115
1997,0.361
1998,1.09
1999,2.43
2000,3.68904127944164
2001,5.55632612097332
2002,7.53125033488567
2003,9.29902723805965
2004,10.6773033237281
2005,15.0260043588909
2006,17.1607147169285
2007,20.03
2008,18.2
2009,20.1
2010,22.4
2011,23.669925618731
2012,26.46
2013,28.94
2014,34.8860535783465
2015,39.3161267365004
2016,47.5049656215909
2017,52.8919293439676
2018,56.8174809301456
2019,66.6524194587528
2020,77.84374066
2021,85.26956666
2022,87.97724503
2023,89.53525238
2024,90.86718789
