year,value
1960,0
1965,0
1970,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0.001592873
1987,0.011208254
1988,0.032882761
1989,0.073514463
1990,0.114475503
1991,0.220234042
1992,0.440091874
1993,0.715792739
1994,1.257947235
1995,2.183979176
1996,3.063599772
1997,3.613604252
1998,3.201797801
1999,3.746479249
2000,4.85019199602462
2001,11.8615312803269
2002,27.1524154979994
2003,33.3243736226487
2004,41.1989375977806
2005,46.1396976737352
2006,60.2776989983143
2007,78.9450134968359
2008,91.4482689471417
2009,96.8163056134753
2010,104.588624052335
2011,112.233203232914
2012,122.431994954555
2013,134.367308785551
2014,138.28115031927
2015,145.932577028654
2016,168.88127084564
2017,170.783699598766
2018,175.266001933225
2019,181.221874232713
2020,162.327737376294
2021,168.485285358167
2022,176.22279253783
2023,168.642808295144
2024,160.639312286761
