event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,admin1,fatalities
TUR1914,2016-01-01,2016,Political violence,Battles,Armed clash,Sirnak,4
TUR1915,2016-01-01,2016,Political violence,Battles,Armed clash,Sirnak,5
TUR1920,2016-01-01,2016,Political violence,Violence against civilians,Attack,Sirnak,1
TUR1919,2016-01-01,2016,Political violence,Riots,Mob violence,Istanbul,0
TUR1917,2016-01-01,2016,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Sirnak,1
TUR1916,2016-01-01,2016,Political violence,Battles,Armed clash,Diyarbakir,0
TUR1918,2016-01-01,2016,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Diyarbakir,2
TUR34792,2016-01-01,2016,Political violence,Battles,Armed clash,Mardin,1
TUR1930,2016-01-02,2016,Strategic developments,Strategic developments,Change to group/activity,Sirnak,0
TUR1928,2016-01-02,2016,Demonstrations,Protests,Protest with intervention,Istanbul,0
TUR1926,2016-01-02,2016,Demonstrations,Protests,Peaceful protest,Istanbul,0
TUR1925,2016-01-02,2016,Demonstrations,Protests,Peaceful protest,Istanbul,0
TUR1921,2016-01-02,2016,Political violence,Battles,Armed clash,Sirnak,1
TUR1927,2016-01-02,2016,Demonstrations,Protests,Protest with intervention,Bingol,0
TUR1922,2016-01-02,2016,Political violence,Battles,Armed clash,Sirnak,29
TUR1929,2016-01-02,2016,Strategic developments,Strategic developments,Disrupted weapons use,Mardin,0
TUR1923,2016-01-02,2016,Political violence,Battles,Armed clash,Diyarbakir,2
TUR1924,2016-01-02,2016,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Diyarbakir,0
TUR1931,2016-01-03,2016,Political violence,Battles,Armed clash,Sirnak,8
TUR1932,2016-01-03,2016,Political violence,Battles,Armed clash,Sirnak,3
TUR1934,2016-01-03,2016,Political violence,Battles,Armed clash,Sirnak,1
TUR1933,2016-01-03,2016,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Diyarbakir,2
TUR1935,2016-01-03,2016,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Diyarbakir,1
TUR1936,2016-01-03,2016,Demonstrations,Protests,Protest with intervention,Istanbul,0
TUR1941,2016-01-04,2016,Political violence,Violence against civilians,Attack,Sirnak,4
TUR1937,2016-01-04,2016,Political violence,Battles,Armed clash,Sirnak,7
TUR1938,2016-01-04,2016,Political violence,Battles,Armed clash,Sirnak,4
TUR1940,2016-01-04,2016,Strategic developments,Strategic developments,Disrupted weapons use,Diyarbakir,0
TUR1939,2016-01-04,2016,Political violence,Battles,Armed clash,Diyarbakir,8
TUR1946,2016-01-05,2016,Strategic developments,Strategic developments,Arrests,Sirnak,0
TUR1947,2016-01-05,2016,Political violence,Violence against civilians,Attack,Sirnak,3
TUR1942,2016-01-05,2016,Political violence,Battles,Armed clash,Sirnak,12
TUR1944,2016-01-05,2016,Political violence,Battles,Armed clash,Sirnak,3
TUR1943,2016-01-05,2016,Political violence,Battles,Armed clash,Sirnak,4
TUR1945,2016-01-05,2016,Political violence,Battles,Armed clash,Diyarbakir,3
TUR1950,2016-01-06,2016,Demonstrations,Protests,Protest with intervention,Sirnak,0
TUR1948,2016-01-06,2016,Political violence,Battles,Armed clash,Sirnak,1
TUR1953,2016-01-06,2016,Political violence,Violence against civilians,Attack,Sirnak,1
TUR1952,2016-01-06,2016,Political violence,Violence against civilians,Attack,Sirnak,31
TUR1951,2016-01-06,2016,Demonstrations,Protests,Protest with intervention,Diyarbakir,0
TUR1949,2016-01-06,2016,Political violence,Battles,Armed clash,Diyarbakir,1
TUR1958,2016-01-07,2016,Political violence,Violence against civilians,Attack,Sirnak,2
TUR1957,2016-01-07,2016,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Sirnak,4
TUR1954,2016-01-07,2016,Political violence,Battles,Armed clash,Sirnak,6
TUR1956,2016-01-07,2016,Political violence,Battles,Armed clash,Sirnak,5
TUR1955,2016-01-07,2016,Political violence,Battles,Armed clash,Mardin,2
TUR1959,2016-01-08,2016,Political violence,Battles,Armed clash,Sirnak,17
TUR1963,2016-01-08,2016,Political violence,Violence against civilians,Attack,Diyarbakir,0
TUR1960,2016-01-08,2016,Political violence,Battles,Armed clash,Diyarbakir,3
TUR1961,2016-01-08,2016,Political violence,Battles,Armed clash,Diyarbakir,0
TUR1962,2016-01-08,2016,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Diyarbakir,0
TUR1964,2016-01-08,2016,Political violence,Violence against civilians,Attack,Diyarbakir,1
TUR5354,2016-01-09,2016,Strategic developments,Strategic developments,Looting/property destruction,Siirt,0
TUR1968,2016-01-09,2016,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Diyarbakir,0
TUR1965,2016-01-09,2016,Political violence,Battles,Armed clash,Sirnak,17
TUR1966,2016-01-09,2016,Political violence,Battles,Armed clash,Sirnak,3
TUR1967,2016-01-09,2016,Political violence,Battles,Armed clash,Diyarbakir,6
TUR1971,2016-01-10,2016,Demonstrations,Protests,Peaceful protest,Istanbul,0
TUR1969,2016-01-10,2016,Political violence,Battles,Armed clash,Van,13
TUR1972,2016-01-10,2016,Demonstrations,Protests,Protest with intervention,Ankara,0
TUR1976,2016-01-10,2016,Political violence,Violence against civilians,Attack,Sirnak,0
TUR1973,2016-01-10,2016,Demonstrations,Protests,Protest with intervention,Kocaeli,0
TUR1974,2016-01-10,2016,Demonstrations,Protests,Protest with intervention,Istanbul,0
TUR1970,2016-01-10,2016,Political violence,Battles,Armed clash,Diyarbakir,7
TUR1975,2016-01-10,2016,Strategic developments,Strategic developments,Arrests,Istanbul,0
TUR1981,2016-01-11,2016,Political violence,Violence against civilians,Attack,Siirt,0
TUR1977,2016-01-11,2016,Political violence,Battles,Armed clash,Sirnak,1
TUR1979,2016-01-11,2016,Demonstrations,Protests,Protest with intervention,Van,0
TUR1980,2016-01-11,2016,Demonstrations,Protests,Protest with intervention,Tunceli,0
TUR1978,2016-01-11,2016,Political violence,Battles,Armed clash,Diyarbakir,0
TUR1982,2016-01-12,2016,Political violence,Battles,Armed clash,Sirnak,1
TUR1983,2016-01-12,2016,Political violence,Battles,Armed clash,Sirnak,10
TUR1987,2016-01-12,2016,Demonstrations,Protests,Peaceful protest,Ankara,0
TUR1984,2016-01-12,2016,Political violence,Battles,Armed clash,Mardin,4
TUR1986,2016-01-12,2016,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Van,0
TUR1988,2016-01-12,2016,Demonstrations,Protests,Protest with intervention,Adana,0
