year,value
1987,0.406
1988,0.409
1989,0.41100000000000003
1990,0.413
1991,0.415
1992,0.41700000000000004
1993,0.419
1994,0.42100000000000004
1995,0.42
1996,0.418
1997,0.41600000000000004
1998,0.415
1999,0.413
2000,0.41100000000000003
2001,0.41
2002,0.408
2003,0.408
2004,0.406
2005,0.40399999999999997
2006,0.4
2007,0.396
2008,0.39299999999999996
2009,0.392
2010,0.39
2011,0.38799999999999996
2012,0.387
2013,0.38799999999999996
2014,0.389
2015,0.39299999999999996
2016,0.396
2017,0.39899999999999997
2018,0.4
2019,0.401
2020,0.40299999999999997
2021,0.405
2022,0.40700000000000003
2023,0.406
2024,0.405
2025,0.40399999999999997
