year,value
1990,0
1993,0.00846
1994,0.0499
1995,0.0817
1996,0.193
1997,0.474
1998,0.699
1999,2.29
2000,3.761685035075
2001,5.18948146078506
2002,11.38
2003,12.33
2004,14.58
2005,15.46
2006,18.24
2007,28.63
2008,34.37
2009,36.4
2010,39.82
2011,43.065710430925
2012,45.13
2013,46.25
2014,51.0373665521645
2015,53.7449791423583
2016,58.3477340145685
2017,64.6846176835371
2018,71.0427608433809
2019,73.9767022871511
2020,77.6695605
2021,81.40843745
2022,83.43716576
2023,85.96074155
2024,87.3078767
2025,89.77024003
