year,value
1960,0
1965,0
1970,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0.000726746
1987,0.009953141
1988,0.018834687
1989,0.029276675
1990,0.058554077
1991,0.086455146
1992,0.109045788
1993,0.146933448
1994,0.29973978
1995,0.737081845
1996,1.337350088
1997,2.627083259
1998,5.633037995
1999,12.85342716
2000,24.659026406964
2001,29.5461682857644
2002,34.7852903247553
2003,41.1128169663371
2004,50.5995404724097
2005,62.9009716591727
2006,75.1837213345885
2007,87.5975882376437
2008,91.981497306586
2009,86.6344934581247
2010,84.215890954924
2011,88.0166628392838
2012,90.0040810031246
2013,91.1758435342703
2014,92.1219361989572
2015,92.0327105332494
2016,91.9286950751339
2017,93.6407569517097
2018,94.9085818111026
2019,94.6498130829997
2020,95.3960853737199
2021,99.5415432248525
2022,103.720593629066
2023,105.684032912794
2024,107.826875714392
